fonKodu,raporTarihi,kurucu,kurucuDuzeni,satir,agirlikToplam,tefasGun,tefasSapma,hisseSatir,yabanciHisseSatir,bistKoduBos,adTemiz,durum,sebep,not
ONS,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
OPJ,2026-07,QNB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
OVD,2026-07,QNB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PAI,2026-08,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PAL,2026-08,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PFO,2026-08,PHİLLİP PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PHK,2026-08,PHİLLİP PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PJL,2026-08,PHİLLİP PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PMG,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PPB,2026-08,PHİLLİP PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PPE,2026-08,PHİLLİP PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PPK,2026-07,QNB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PPS,2026-08,PHİLLİP PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PRH,2026-08,AURA PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PRU,2026-08,ALLBATROSS PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PSH,2026-08,DENİZ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PTE,2026-07,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PTF,2026-08,QNB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PTL,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PTN,2026-08,PHİLLİP PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PTS,2026-08,QNB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PUC,2026-08,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PYB,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RBB,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RBI,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RBL,2026-07,QNB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RBN,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RBP,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RBR,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RDT,2026-08,PHİLLİP PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RGD,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RGH,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RHI,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RIH,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RIK,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RJG,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RKH,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RKV,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RPD,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RPL,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RRP,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RTD,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RTH,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RTP,2026-08,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
RUT,2026-08,BV PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
SAP,2026-08,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
SAS,2026-08,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
SDA,2026-07,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
SER,2026-07,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
SHE,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
SKL,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
SKT,2026-08,FİBA PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
SLG,2026-07,QNB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
SOS,2026-08,HEDEF PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
SPR,2026-08,BV PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
SSK,2026-08,DENİZ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
T3B,2026-08,TERA PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TAO,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TAR,2026-08,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TAU,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TBP,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TBT,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TBV,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TCF,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TDG,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TE3,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TE4,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TFF,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TFU,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TGE,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TGN,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TGR,2026-08,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
THF,2026-08,TERA PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TI1,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TI2,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TI3,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TI4,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TI6,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TI7,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TIE,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TIL,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TIV,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TJF,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TJI,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TJT,2026-07,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TKK,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TKM,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TLE,2026-08,AURA PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TLH,2026-08,AURA PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TLV,2026-08,TERA PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TMC,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TMG,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TMM,2026-08,TERA PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TMV,2026-08,TERA PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TMZ,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TND,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TNK,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TOT,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TP2,2026-08,TERA PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TPC,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TPE,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TPJ,2026-07,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TPL,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TPO,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TPP,2026-07,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TPR,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TPV,2026-08,AURA PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TPZ,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TRJ,2026-08,TERA PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TRU,2026-08,TERA PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TSI,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TTE,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TUA,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TYH,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
UCP,2026-07,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
UNT,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
URC,2026-07,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
VAY,2026-08,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
VCY,2026-08,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
VHS,2026-08,VAKIF KATILIM PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
VKK,2026-08,VAKIF KATILIM PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
VKV,2026-08,VAKIF KATILIM PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
VLT,2026-08,VAKIF KATILIM PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
VPA,2026-08,VAKIF KATILIM PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
VRK,2026-08,DENİZ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
YAR,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
YBR,2026-08,İŞ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
YMP,2026-07,QNB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
YNF,2026-08,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
YOZ,2026-08,DENİZ PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
YZH,2026-08,TEB PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
YZT,2026-08,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
ZA2,2026-08,KUVEYT TÜRK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
ZAY,2026-08,KUVEYT TÜRK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
ZFB,2026-08,AK PORTFÖY YÖNETİMİ A.Ş.,-,0,,,,,,,,hata,ayrıştırma hatası: ,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
