tarih,fonKodu,bb,byf,d,db,bpp,btaa,btas,dt,dot,eut,fb,fkb,gas,gsykb,gsyy,gykb,gyy,hb,hs,kba,kh,khau,khd,khtl,kks,kksd,kkstl,kksyd,km,kmbyf,kmkba,kmkks,kibd,osks,ost,r,t,tpp,tr,vdm,vm,vmau,vmd,vmtl,vint,yba,ybkb,ybosb,ybyf,yhs,ymk,yyf,oksyd,osdb
2026-08-31,AAL,,,,,,,,10.21,,,9.67,,,,,,,3.43,,,,,,5.32,,,1.47,,,,,,,0.78,2.74,,,0.42,36.57,3.56,,,,25.78,0.05,,,,,,,,,
2026-08-31,AAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,69.32,,30.31,,
2026-08-31,AAV,,,,,,,,,,,,,,,,,,,86.82,,,,,,,,,,,,,,,,,,,,,,,,,,9.65,,,,,,,3.53,,
2026-08-31,ABG,,,,,,,,,,,,,,,,,,,113.27,,,,,,,,,,,,,,,,,-13.27,,,,,,,,,,,,,,,,,,
2026-08-31,ABJ,,,,,,,,,,,,,,,,,,,83.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,
2026-08-31,ABU,,,,,,,,53.06,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,8.29,29.25,,,,,,,,,,,,,,,
2026-08-31,AC1,,,4.76,,,,52.25,,,,,,,,,,,,,,,,,35.9,,,5.35,,,,,,,1.74,,,,,,,,,,,,,,,,,,,,
2026-08-31,AC2,,,,,,,,,,,,,,,,,,,87.45,,,,,,,,,,,,,,,,,-3.62,,,,,,,,,,,,,,,,16.17,,
2026-08-31,AC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
2026-08-31,AC4,,,,,15.83,,,10.11,,,3.2,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,2.62,55.69,,,,,11.98,,,,,,,,,,
2026-08-31,AC5,,,,,,,,,,,,,,,,,,,91.88,,,,,,,,,,,,,,,,,,,,,,,,,,8.12,,,,,,,,,
2026-08-31,AC6,,,,,,,,,,,,,,,,,,,,14.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.74
2026-08-31,AC7,,,,,-49.48,,,,,,,,,,,,,,157.54,,,,,,,,,,,,,,,,,-8.06,,,,,,,,,,,,,,,,,,
2026-08-31,AC8,,,,,,,,,,,,,,,,,,,83.96,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,,,,,,,11.81,,
2026-08-31,ACC,,,,,,,,,,,,,,,,,,,83.65,,,,,,,,,,,,,,,,,,,,,,,,,0.8,3.15,,,,,,,12.4,,
2026-08-31,ACD,,,,,,,,,,,30.64,,,,,1.83,,,54.05,,,,,,,,,,,,,,,,2.9,,,4.72,,,,,,,5.86,,,,,,,,,
2026-08-31,ACN,,,0.02,,,,,,,,,,,,,,,,,54.49,,,,,,,,,,,,,,,,,,,,,,,19.21,0.01,,,,,,,,19.89,,6.38
2026-08-31,ACU,,,,,,,,,,,,,,,,,,,,14.31,,,42.34,,,,,,,,,,,,,,,,,,,,0.34,0.03,0.05,,,,,,,14.42,,28.51
2026-08-31,ADE,,,,,,,,,,,,,,,,,,,61.11,,,,,,,,,,,,,,,,,,,10.37,,,,,,,10.08,,,,4.66,10.69,,3.09,,
2026-08-31,ADP,,7.18,,,,,,,,,,,,,,,,,87.43,,,,,,,,,,,,,,,,,,,,0.99,,,,,0.04,0.96,,,,,,,3.4,,
2026-08-31,AED,,,,,,,,10.39,,,3.19,,,,,,,,55.21,,,,,,,,,,,,,,,,,,,,,,,,,,22.85,,,,,,,8.36,,
2026-08-31,AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,0.05,0.23,,,,,,,,,,89.39,,,9.8,,
2026-08-31,AEV,,,,,,,,,,,,,,,,,,,84.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.66,,
2026-08-31,AFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,97.02,,1.74,,
2026-08-31,AFO,,0.12,,,,,,,,,,,,,,,,,,,,,,0.16,,,0.04,,49.05,,1.57,45.59,,,,,,,,,,,,,,,,,0.59,,,2.88,,
2026-08-31,AFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,4.48,,,,,,,,,,,94.09,,1.41,,
2026-08-31,AFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,98.48,,1.51,,
2026-08-31,AFV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,2.03,,,,,,,,,,,95.55,,2.41,,
2026-08-31,AGC,,,,,,,,,,,,,,,,,,,,9.39,,,,,,,,,,,,,,,,,,8.61,17.4,,,,,,2.16,,62.44,,,,,,,
2026-08-31,AHH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
2026-08-31,AHI,,,,,,,,,,,,,,,,,,,98.14,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,0.8,,
2026-08-31,AHN,,4.7,,,,,,,,,,,,6.61,,,,,,,,,,,,,,,,,,,72.24,,,,,0.73,,,,,,,,,,,,6.57,,9.15,,
2026-08-31,AHU,,,,,,,,,,,65.65,,,6.26,,,,,,,,,,,,,,,,,,,,0.84,19.03,,,2,,,,,,,,,,,,,,6.22,,
2026-08-31,AHV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
2026-08-31,AHZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
2026-08-31,AI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.92,1.08,,,,,,,,,
2026-08-31,AIH,,,,,,,,,,,,,,,,,,,95.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94,,
2026-08-31,AII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
2026-08-31,AIM,,,,,,,,,,,,,,,,,,,86.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62,,,4.51,,
2026-08-31,AIR,,,,,,,,,,,,,,,,,,,0.08,8.44,,,,,,,,,,,,,,,,,,,,,,,0.21,5.68,,,,2.63,,,,,,82.96
2026-08-31,AIS,,,0.76,,,,36.36,,,,,,,,,,,,,,,,,48.23,,,9.85,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,
2026-08-31,AJ1,,,,,,,,,,,,,,,,,,,85.74,,,,,,,,,,,,,,,,,,,1.7,,,,,,,12.56,,,,,,,,,
2026-08-31,AJE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.43,,,,1.7,,,,,,,,,,,72.87
2026-08-31,AJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89,,,,,,,,,,,87.11
2026-08-31,AJL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.78,,,,0.26,,,,,,,,,,,53.96
2026-08-31,AJN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,
2026-08-31,AK2,,,,,,,,86.32,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,,,7.41,,,,,,,,,,,,,,,,
2026-08-31,AK3,,0.05,,,,,,,,,,,,,,0.3,,,94.32,,,,,,,,,,,,,,,,,,,,1.05,,,,,0.02,3.53,,,,,,,0.73,,
2026-08-31,AKE,,,,,,,,0.42,,,,,,,,,,,,64.53,,,,,,,,,,,,,,,,,,0.09,8.8,,,,,,2.57,,,,,,,,,23.59
2026-08-31,AKU,,,,,,,,,,,,,,,,,,,90.71,,,,,,,,,,,,,,,,,,,0.01,5.04,,,,,,1.48,,,,,,,2.76,,
2026-08-31,AL4,,,,,,,,,,,,,,,,,,,,,,,,90.96,,,8.97,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,
2026-08-31,AL5,,,,,,,,,,,,,,,,,,,,,,,90.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.59,1.95,
2026-08-31,AL6,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,AL7,,,,,,28.57,,,,,,,,,,,,,,,,,,71.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31,ALC,,0.02,,,,,,,,,,,,,,,,,91.27,,,,,,,,,,,,,,,,,,,0.01,3.29,,,,,,3.57,,,,,,,1.84,,
2026-08-31,ALE,,,,,,,,12.42,,,0.5,,,,,,,,,,,,,0,,,0.6,,,,,,,0.07,0.3,,,3.92,44.38,0.17,,,,37.64,,,,,,,,,,
2026-08-31,AN1,,,,,,,,,,,,,,,,,,,41.43,,,,,,,,,,,,,,,,,,,,22.62,,,,,,24.97,,,,,4.69,,6.29,,
2026-08-31,ANL,,,,,,,,16.69,,,2.69,,,,,,,,,,,,,,,,,,,,,,,,12.23,,,8.04,36.9,,,,,23.45,,,,,,,,,,
2026-08-31,ANZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.59,,,,,,,,,,7.39,,2.02,,,,,,,,,
2026-08-31,AOJ,,,,,,,,,,,,,,,,,,,89.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.96,,
2026-08-31,AOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,2.21,,,,,,,,,,,97.72,,,,
2026-08-31,AP2,,,,,,,,,,,,,,,,,,,99.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,
2026-08-31,AP4,,,,,,,,,,,,,,,,,,,99.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,
2026-08-31,AP5,,,,,,,,,,,,,,,,,,,93.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55,,
