fonKodu,fonUnvan,fonTipi,fonSinifi,durum,kurucu,fundOid,kategori,kategoriKaynak
ZFL,AZİMUT PORTFÖY YÖNETİMİ A.Ş. İKİNCİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328c7bf4b5e3017c74b30ec577d9,Diğer,unvan
ZFN,ZİRAAT PORTFÖY YÖNETİMİ A.Ş. FİNOVA ÖZEL GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d9aaa2dfa019ac58e7fff0522,Diğer,unvan
ZFZ,ZİRAAT PORTFÖY ANKARA SERBEST (DÖVİZ) ÖZEL FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d8029261a0180d75f12762e13,Serbest,unvan
ZG6,ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. LEVENT GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş.,4028328d7bf4b81c017c313fa6fe38d7,Diğer,unvan
ZG7,ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. TEKNOPARK İSTANBUL YÜKSEK TEKNOLOJİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş.,4028328c8304fea80183410437e4370f,Diğer,unvan
ZG8,ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. SEKİZİNCİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş.,4028328d86d233bf01876b0773414581,Diğer,unvan
ZG9,ROTA PORTFÖY YÖNETİMİ A.Ş. ARTAŞ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ROTA PORTFÖY YÖNETİMİ A.Ş.,4028328d89555d7f018a993b8ee57994,Diğer,unvan
ZGG,ZİRAAT PORTFÖY YÖNETİMİ A.Ş. BGF KATILIM ÖZEL GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d89555d7f01898cca6705260c,Katılım,unvan
ZGOLD,ZİRAAT PORTFÖY ALTIN KATILIM BORSA YATIRIM FONU,BYF,DG,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c71bc39bf0172091a592e1ab4,Kıymetli Madenler,unvan
ZGU,AZİMUT PORTFÖY YÖNETİMİ A.Ş. ÖZGÜN ÖZEL GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328c8b2fcee7018c01bdbc8b1b64,Diğer,unvan
ZGZ,ZİRAAT PORTFÖY YÖNETİMİ A.Ş. GAZİANTEP GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c9d7b22d2019db4670b1675cc,Diğer,unvan
ZHB,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,EYF,,faal,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,33E5FED7E8F700EAE0530A4A622B2AEA,Hisse Senedi,unvan
ZHD,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU,EYF,,faal,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,33E5FED7EF1F00EAE0530A4A622B2AEA,Katılım,unvan
ZHE,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,EYF,,faal,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,33E5FED7E8F300EAE0530A4A622B2AEA,Değişken,unvan
ZHF,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,EYF,,faal,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,33E5FED7F0EF00EAE0530A4A622B2AEA,Katılım,unvan
ZHG,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,EYF,,faal,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,33E5FED7EF1B00EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
ZHH,ZİRAAT PORTFÖY HALKBANK SÜRDÜRÜLEBİLİRLİK 30 ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d906f407a0190c0bd1d6161ef,Hisse Senedi,unvan
ZIH,ZİRAAT PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,YF,DG,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c9f0a085a019f408f5b501c53,Değişken,unvan
ZJB,ZİRAAT PORTFÖY BİRİNCİ SERBEST (TL) FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d7902c2a20179133013d04095,Serbest,unvan
ZJH,ZİRAAT PORTFÖY V10 SERBEST (DÖVİZ) ÖZEL FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c794d2f89017a3421dd5163ad,Serbest,unvan
ZJI,ZİRAAT PORTFÖY İKİNCİ SERBEST (TL) FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c7a4e423c017ae79ec3e71ef3,Serbest,unvan
ZJL,ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c794d2f89017a3420da8f6371,Hisse Senedi,unvan
ZJR,ZİRAAT PORTFÖY TÜRK REASÜRANS HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c794d2f880179cd06cd7a6ad2,Hisse Senedi,unvan
ZJT,ZİRAAT PORTFÖY DURU SERBEST (DÖVİZ) ÖZEL FON,YF,SF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c794d2f880179cd07d5b16aeb,Serbest,unvan
ZJV,ZİRAAT PORTFÖY BIST 30 DIŞI YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c794d2f89017a3422f0f363c3,Hisse Senedi,unvan
ZK1,ZİRAAT PORTFÖY BAŞAK KATILIM SERBEST (DÖVİZ-AMERİKAN DOLARI) FON,YF,KTF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c930ce8de01936de9c1226cda,Katılım,unvan
ZK2,ZİRAAT PORTFÖY BAŞAK KATILIM SERBEST (DÖVİZ-AVRO) FON,YF,KTF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328c930ce8de01936dea15676ce5,Katılım,unvan
ZKK,ZİRAAT PORTFÖY ESSA KATILIM SERBEST (DÖVİZ-AVRO) ÖZEL FON,YF,KTF,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d8588f3000185bfe2347e0465,Katılım,unvan
ZLB,TEB PORTFÖY TEB ÖZEL BANKACILIK SERBEST (DÖVİZ) ÖZEL FON,YF,SF,faal,TEB PORTFÖY YÖNETİMİ A.Ş.,4028328c944ba53d01945fc0adf3009d,Serbest,unvan
ZLG,AK PORTFÖY MARAL SERBEST (DÖVİZ) ÖZEL FON,YF,SF,faal,AK PORTFÖY YÖNETİMİ A.Ş.,4028328d7b648589017b7db211b0504f,Serbest,unvan
ZLH,ZİRAAT PORTFÖY BIST 100-30 ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ZİRAAT PORTFÖY YÖNETİMİ A.Ş.,4028328d7afb2dbd017b2fe552742c62,Hisse Senedi,unvan
