fonKodu,fonUnvan,fonTipi,fonSinifi,durum,kurucu,fundOid,kategori,kategoriKaynak
AAJ,AGESA HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU,OKS,DG,faal,AGESA HAYAT VE EMEKLİLİK A.Ş.,4028328c5fc60da8016077d53b7b311c,Diğer,unvan
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,YF,DG,faal,ATA PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E36300EAE0530A4A622B2AEA,Para Piyasası,unvan
AAS,ATA PORTFÖY FON SEPETİ SERBEST FON,YF,SF,faal,ATA PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E74300EAE0530A4A622B2AEA,Fon Sepeti,unvan
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ATA PORTFÖY YÖNETİMİ A.Ş.,33E5FED7EE3700EAE0530A4A622B2AEA,Hisse Senedi,unvan
AB1,AKFEN GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,AKFEN GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş.,4028328d65442dfb016580b17cfe42b7,Diğer,unvan
AB2,ALLBATROSS PORTFÖY YÖNETİMİ A.Ş. İKİNCİ GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,ALLBATROSS PORTFÖY YÖNETİMİ A.Ş.,4028328c93c3b40d0193f36292cd4da8,Diğer,unvan
AB5,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %115 ANAPARA KORUMA AMAÇLI ALTMIŞBEŞİNCİ FON,YF,DG,faal,AK PORTFÖY YÖNETİMİ A.Ş.,4028328d9d7b24c9019df89f7d2e0ead,Borçlanma Araçları,unvan
ABE,ANADOLU HAYAT EMEKLİLİK A.Ş. S&P 500 YABANCI BYF FON SEPETİ EMEKLİLİK YATIRIM FONU,EYF,DG,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7EE7300EAE0530A4A622B2AEA,Fon Sepeti,unvan
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,YF,SF,faal,ATLAS PORTFÖY YÖNETİMİ A.Ş.,4028328d8305029e01837f6087017ae8,Serbest,unvan
ABH,PARDUS PORTFÖY YÖNETİMİ A.Ş. PARDUS TEKNOLOJİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328d80e91791018128e4ef2c1791,Diğer,unvan
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ALLBATROSS PORTFÖY YÖNETİMİ A.Ş.,4028328c84686b410184855f32316c02,Hisse Senedi,unvan
ABM,PARDUS PORTFÖY YÖNETİMİ A.Ş. PARDUS VİZYON GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328d80e91791018128e5cf7317a0,Diğer,unvan
ABS,AK PORTFÖY ÖPY MUTLAK GETİRİ HEDEFLİ SERBEST ÖZEL FON,YF,SF,faal,AK PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E76700EAE0530A4A622B2AEA,Serbest,unvan
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,YF,DG,faal,AK PORTFÖY YÖNETİMİ A.Ş.,33E5FED7EE5300EAE0530A4A622B2AEA,Değişken,unvan
ABW,AZİMUT PORTFÖY YÖNETİMİ A.Ş. BLUE WORLD GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328d9373bab00193bfce38174c31,Diğer,unvan
ABZ,ALBARAKA PORTFÖY YÖNETİMİ A.Ş. DOKUZUNCU KARMA GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,ALBARAKA PORTFÖY YÖNETİMİ A.Ş.,4028328d86d233bf01880fd290ff2c56,Karma,unvan
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FON,YF,KTF,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328d838f7dce0183f5f4ad6b66f6,Kısa Vadeli Borçlanma,unvan
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,YF,SF,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328d838f7dce0183f5edaecc668f,Serbest,unvan
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,YF,SF,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328d838f7dce0183f5f1b5aa66d4,Serbest,unvan
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,YF,DG,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328d838f7dce0183f5fb2d366769,Para Piyasası,unvan
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328d838f7dce0183f5f3bd3066e6,Hisse Senedi,unvan
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,YF,SF,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328c84686b410184e75606b834f2,Serbest,unvan
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328c84686b410184e77902a4366c,Hisse Senedi,unvan
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328c84686b410184e778dfda365f,Hisse Senedi,unvan
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,4028328c55a2cb380155e8ee23a61563,Hisse Senedi,unvan
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,YF,DG,faal,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E6E300EAE0530A4A622B2AEA,Değişken,unvan
ACF,İSTANBUL PORTFÖY YÖNETİMİ A.Ş. LOGO VENTURES GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,4028328d767bb19d0176b8e448493879,Diğer,unvan
ACG,İSTANBUL PORTFÖY YÖNETİMİ A.Ş. ACTUS GAZİANTEP ENTEGRE SAĞLIK KAMPÜSÜ PPP GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,4028328d767bb19d0176b8e1fd1d3854,Diğer,unvan
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,YF,SF,faal,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,4028328c610a7f0001612c5936cf6ede,Serbest,unvan
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,YF,SF,faal,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,4028328c6233239d01626c46dd551663,Serbest,unvan
ACV,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,OKS,DG,faal,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,4028328d594ca01e01594f96c0311332,Katılım,unvan
AD4,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %115 ANAPARA KORUMA AMAÇLI ALTMIŞDÖRDÜNCÜ FON,YF,DG,faal,AK PORTFÖY YÖNETİMİ A.Ş.,4028328d9d7b24c9019df89faa340eb8,Borçlanma Araçları,unvan
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,YF,DG,faal,AK PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E3F700EAE0530A4A622B2AEA,Değişken,unvan
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,AK PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E65300EAE0530A4A622B2AEA,Hisse Senedi,unvan
AE1,AGESA HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ PARA PİYASASI EMEKLİLİK YATIRIM FONU,EYF,,faal,AGESA HAYAT VE EMEKLİLİK A.Ş.,33E5FED7EB3700EAE0530A4A622B2AEA,Para Piyasası,unvan
AE2,AGESA HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,EYF,,faal,AGESA HAYAT VE EMEKLİLİK A.Ş.,33E5FED7EB3B00EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
AE3,AGESA HAYAT VE EMEKLİLİK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,EYF,,faal,AGESA HAYAT VE EMEKLİLİK A.Ş.,33E5FED7EB3F00EAE0530A4A622B2AEA,Değişken,unvan
AEA,ANADOLU HAYAT EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7ED6300EAE0530A4A622B2AEA,Kıymetli Madenler,unvan
AEB,AGESA HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ GRUP EMEKLİLİK YATIRIM FONU,EYF,,faal,AGESA HAYAT VE EMEKLİLİK A.Ş.,33E5FED7EB4F00EAE0530A4A622B2AEA,Hisse Senedi,unvan
AEC,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. UNİLEVER BİRİNCİ DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,EYF,,faal,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,33E5FED7EF6F00EAE0530A4A622B2AEA,Değişken,unvan
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,YF,DG,faal,ATA PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E73F00EAE0530A4A622B2AEA,Değişken,unvan
AEH,AGESA HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,EYF,,faal,AGESA HAYAT VE EMEKLİLİK A.Ş.,33E5FED7EB4700EAE0530A4A622B2AEA,Hisse Senedi,unvan
AEI,AGESA HAYAT VE EMEKLİLİK A.Ş. KATKI EMEKLİLİK YATIRIM FONU,EYF,,faal,AGESA HAYAT VE EMEKLİLİK A.Ş.,33E5FED7EB5F00EAE0530A4A622B2AEA,Diğer,unvan
AEK,AGESA HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,EYF,,faal,AGESA HAYAT VE EMEKLİLİK A.Ş.,33E5FED7EB4B00EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
AEN,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,EYF,,faal,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,33E5FED7EEF300EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
AEP,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. UNİLEVER İKİNCİ DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,EYF,,faal,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,33E5FED7EF7300EAE0530A4A622B2AEA,Değişken,unvan
AER,ANADOLU HAYAT EMEKLİLİK A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7EE8700EAE0530A4A622B2AEA,Katılım,unvan
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,YF,DG,faal,AK PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E76F00EAE0530A4A622B2AEA,Fon Sepeti,unvan
AET,ANADOLU HAYAT EMEKLİLİK A.Ş. KATKI EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7ED6700EAE0530A4A622B2AEA,Diğer,unvan
AEU,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. BIST TEMETTÜ ENDEKSİ EMEKLİLİK YATIRIM FONU,EYF,,faal,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,33E5FED7EEF700EAE0530A4A622B2AEA,Diğer,unvan
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ALLBATROSS PORTFÖY YÖNETİMİ A.Ş.,4028328d86d233be0187506436f7058d,Hisse Senedi,unvan
AEY,VIENNALIFE EMEKLİLİK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU,EYF,DG,faal,VIENNALIFE EMEKLİLİK VE HAYAT A.Ş.,33E5FED7EF1300EAE0530A4A622B2AEA,Diğer,unvan
AEZ,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. YAPI KREDİ FON SEPETİ EMEKLİLİK YATIRIM FONU,EYF,,faal,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,33E5FED7F16B00EAE0530A4A622B2AEA,Fon Sepeti,unvan
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,YF,DG,faal,AK PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E40B00EAE0530A4A622B2AEA,Hisse Senedi,unvan
AFH,ANADOLU HAYAT EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU,OKS,DG,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,4028328d5fc61027016072a954797e68,Diğer,unvan
AFJ,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,OKS,DG,faal,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,4028328c5c459c6f015cc45de0f5395e,Değişken,unvan
AFO,AK PORTFÖY ALTIN FONU,YF,DG,faal,AK PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E76B00EAE0530A4A622B2AEA,Kıymetli Madenler,unvan
AFP,ANADOLU HAYAT EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU,OKS,DG,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,4028328d5fc61027016072aa5aa07e8d,Katılım,unvan
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,YF,DG,faal,AK PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E40700EAE0530A4A622B2AEA,Hisse Senedi,unvan
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,YF,DG,faal,AK PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E77300EAE0530A4A622B2AEA,Hisse Senedi,unvan
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,YF,DG,faal,AK PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E3FF00EAE0530A4A622B2AEA,Hisse Senedi,unvan
AG1,ANADOLU HAYAT EMEKLİLİK A.Ş. İKİNCİ BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7ED4F00EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
AG2,ANADOLU HAYAT EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7ED5300EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
AG3,ANADOLU HAYAT EMEKLİLİK A.Ş. HİSSE SENEDİ GRUP EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7ED5700EAE0530A4A622B2AEA,Hisse Senedi,unvan
AG4,ANADOLU HAYAT EMEKLİLİK A.Ş. TEMKİNLİ DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7EE7B00EAE0530A4A622B2AEA,Değişken,unvan
AG7,ALBARAKA PORTFÖY YÖNETİMİ A.Ş. METROPOL GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,ALBARAKA PORTFÖY YÖNETİMİ A.Ş.,4028328d65fd445501660f896cb817ab,Diğer,unvan
AG9,ALBARAKA PORTFÖY YÖNETİMİ A.Ş. CONTRA TEKNOLOJİ GİRİŞİM SERMAYESİ FONU,GSF,DG,faal,ALBARAKA PORTFÖY YÖNETİMİ A.Ş.,4028328d7707357e01771fa873864c8d,Diğer,unvan
AGA,BEREKET EMEKLİLİK VE HAYAT A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU,EYF,,faal,BEREKET EMEKLİLİK VE HAYAT A.Ş.,33E5FED7EB6B00EAE0530A4A622B2AEA,Kıymetli Madenler,unvan
AGB,BEREKET EMEKLİLİK VE HAYAT A.Ş. BÜYÜME KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU,EYF,,faal,BEREKET EMEKLİLİK VE HAYAT A.Ş.,33E5FED7EB6F00EAE0530A4A622B2AEA,Katılım,unvan
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,YF,DG,faal,AK PORTFÖY YÖNETİMİ A.Ş.,4028328c67565bc501677e6f339e0687,Değişken,unvan
AGD,BEREKET EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU,EYF,,faal,BEREKET EMEKLİLİK VE HAYAT A.Ş.,33E5FED7EE8B00EAE0530A4A622B2AEA,Katılım,unvan
AGE,ANADOLU HAYAT EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7EE6F00EAE0530A4A622B2AEA,Katılım,unvan
AGG,BEREKET EMEKLİLİK VE HAYAT A.Ş. KATILIM DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,EYF,,faal,BEREKET EMEKLİLİK VE HAYAT A.Ş.,33E5FED7EB7300EAE0530A4A622B2AEA,Katılım,unvan
AGH,BEREKET EMEKLİLİK VE HAYAT A.Ş. KATILIM HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,EYF,,faal,BEREKET EMEKLİLİK VE HAYAT A.Ş.,33E5FED7EB7700EAE0530A4A622B2AEA,Hisse Senedi,unvan
AGM,BEREKET EMEKLİLİK VE HAYAT A.Ş. MUHAFAZAKAR KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU,EYF,,faal,BEREKET EMEKLİLİK VE HAYAT A.Ş.,33E5FED7EB7B00EAE0530A4A622B2AEA,Katılım,unvan
AGN,AK PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,AK PORTFÖY YÖNETİMİ A.Ş.,4028328d767bb19d01768ad14893508d,Diğer,unvan
AGT,BEREKET EMEKLİLİK VE HAYAT A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,EYF,,faal,BEREKET EMEKLİLİK VE HAYAT A.Ş.,33E5FED7EB7F00EAE0530A4A622B2AEA,Katılım,unvan
AH1,ANADOLU HAYAT EMEKLİLİK A.Ş. İKİNCİ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7ED3700EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
AH2,ANADOLU HAYAT EMEKLİLİK A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7ED3B00EAE0530A4A622B2AEA,Para Piyasası,unvan
AH3,ANADOLU HAYAT EMEKLİLİK A.Ş. BİRİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7ED3F00EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
AH4,ANADOLU HAYAT EMEKLİLİK A.Ş. İKİNCİ KAMU DIŞ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7ED4300EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
AH5,ANADOLU HAYAT EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7ED4700EAE0530A4A622B2AEA,Hisse Senedi,unvan
AH6,ANADOLU HAYAT EMEKLİLİK A.Ş. BİRİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7EE5F00EAE0530A4A622B2AEA,Değişken,unvan
AH8,ANADOLU HAYAT EMEKLİLİK A.Ş. KARMA EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7EE6300EAE0530A4A622B2AEA,Karma,unvan
AH9,ANADOLU HAYAT EMEKLİLİK A.Ş. ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7EE6700EAE0530A4A622B2AEA,Değişken,unvan
AHB,ANADOLU HAYAT EMEKLİLİK A.Ş. İKİNCİ HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7EE8300EAE0530A4A622B2AEA,Hisse Senedi,unvan
AHC,ANADOLU HAYAT EMEKLİLİK A.Ş. ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7EE7700EAE0530A4A622B2AEA,Borçlanma Araçları,unvan
AHH,AZİMUT PORTFÖY DİNAMİK DAĞILIMLI SERBEST FON,YF,SF,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328d5fc610270160503b396a5fef,Serbest,unvan
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ATLAS PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E32B00EAE0530A4A622B2AEA,Hisse Senedi,unvan
AHJ,AGESA HAYAT VE EMEKLİLİK A.Ş. BAŞLANGIÇ EMEKLİLİK YATIRIM FONU,OKS,DG,faal,AGESA HAYAT VE EMEKLİLİK A.Ş.,4028328c595ae6b801595f9f6ee4347f,Diğer,unvan
AHL,ANADOLU HAYAT EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU,EYF,,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7ED4B00EAE0530A4A622B2AEA,Değişken,unvan
AHN,ATLAS PORTFÖY SERBEST (DÖVİZ) FON,YF,SF,faal,ATLAS PORTFÖY YÖNETİMİ A.Ş.,4028328d552fd7b1015533e32aa50a56,Serbest,unvan
AHR,ALBARAKA PORTFÖY YÖNETİMİ A.Ş. ONUNCU KARMA GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,ALBARAKA PORTFÖY YÖNETİMİ A.Ş.,4028328d86d233bf01880fcff3452b8e,Karma,unvan
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,YF,DG,faal,ATLAS PORTFÖY YÖNETİMİ A.Ş.,4028328d5d88e96c015dcc92d1a17257,Borçlanma Araçları,unvan
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,YF,SF,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328d5fc610270160503a55785fdf,Fon Sepeti,unvan
AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,YF,SF,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328d5fc610270160503961335fcc,Fon Sepeti,unvan
AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,YF,SF,faal,ATA PORTFÖY YÖNETİMİ A.Ş.,4028328c998ee9d5019aa11db5d413b3,Serbest,unvan
AIE,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS BÜYÜME KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU,OKS,DG,faal,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,4028328c5c459c6f015cc46341da399f,Katılım,unvan
AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,AK PORTFÖY YÖNETİMİ A.Ş.,4028328d5b3ef6c7015bf2dc3d656732,Hisse Senedi,unvan
AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,YF,SF,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,4028328c67f69c050168178e29707d7d,Serbest,unvan
AIM,AK PORTFÖY MİMKA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,AK PORTFÖY YÖNETİMİ A.Ş.,4028328d5b3ef6c7015bf2daa1ac66cd,Hisse Senedi,unvan
AIP,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU,OKS,DG,faal,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,4028328c5c459c6f015cc4643ad839b0,Katılım,unvan
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,YF,SF,faal,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,33E5FED7F08700EAE0530A4A622B2AEA,Serbest,unvan
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,YF,KTF,faal,AK PORTFÖY YÖNETİMİ A.Ş.,33E5FED7EBFB00EAE0530A4A622B2AEA,Para Piyasası,unvan
AIV,ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,ARZ GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş.,4028328d74f01f57017579c47a844c47,Diğer,unvan
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,A1 CAPİTAL PORTFÖY YÖNETİMİ A.Ş.,4028328d98455cf6019898f3075d1ac0,Hisse Senedi,unvan
