fonKodu,yonetimUcretiYillik,ictuzukYonetimUcretiYillik,yonetimUcretiGunluk,performansUcreti,girisKomisyonu,cikisKomisyonu,tarih,kaynak
CVL,"2,25",,"0,006164",,,,2026-09-11,KAP genel bilgiler
CYD,1,,"0,00274",,0,"1,5",2026-09-11,KAP genel bilgiler
DA1,1,,"0,00273",,,,2026-09-11,KAP genel bilgiler
DAC,"0,25",,"0,000685",0,0,0,2026-09-11,KAP genel bilgiler
DAE,"0,25",,"0,000685",,,,2026-09-11,KAP genel bilgiler
DAH,"2,92",,"0,00800",0,0,0,2026-09-11,KAP genel bilgiler
DAI,"0,5",,"0,00137",0,0,0,2026-09-11,KAP genel bilgiler
DAL,"0,35",,"0,000958",,,,2026-09-11,KAP genel bilgiler
DAP,"0,2625","0,2625","0,0007191781",,,,2026-09-11,KAP genel bilgiler
DAS,"0,80","0,80","0,002192",,,,2026-09-11,KAP genel bilgiler
DAT,"0,5",,"0,00137",0,0,0,2026-09-11,KAP genel bilgiler
DAV,"0,75",1,"0,002055",,,,2026-09-11,KAP genel bilgiler
DAZ,"0,25","0,25","0,000685",0,0,0,2026-09-11,KAP genel bilgiler
DB2,1,,,,,,2026-09-11,KAP genel bilgiler
DBA,2,,"0,00548",0,0,0,2026-09-11,KAP genel bilgiler
DBB,2,2,"0,00548",0,0,0,2026-09-11,KAP genel bilgiler
DBG,"0,15",,"0,000411",0,0,0,2026-09-11,KAP genel bilgiler
DBH,"1,75","1,75","0,00479",0,0,0,2026-09-11,KAP genel bilgiler
DBK,"2,4",,"0,00658",0,0,0,2026-09-11,KAP genel bilgiler
DBP,2,,"0,00548",0,0,0,2026-09-11,KAP genel bilgiler
DBZ,2,,"0,00548",0,0,0,2026-09-11,KAP genel bilgiler
DCB,"1,05","1,05","0,002877",,,,2026-09-11,KAP genel bilgiler
DCD,"0,50","0,5","0,00137",,,,2026-09-11,KAP genel bilgiler
DCE,"0,30","0,30","0,000822",,,,2026-09-11,KAP genel bilgiler
DCN,"1,45","1,45","0,00397",,,,2026-09-11,KAP genel bilgiler
DCP,"0,5",,"0,00137",,,,2026-09-11,KAP genel bilgiler
DCV,1,,"0,00274",0,,1,2026-09-11,KAP genel bilgiler
DDA,2,2,"0,00548",,,,2026-09-11,KAP genel bilgiler
DDC,"0,25",,"0,000685",0,0,0,2026-09-11,KAP genel bilgiler
DDE,"0,3",,"0,000822",,0,0,2026-09-11,KAP genel bilgiler
DDF,"0,60","0,60","0,00164",,,,2026-09-11,KAP genel bilgiler
DDP,"0,7",,"0,001918",,,,2026-09-11,KAP genel bilgiler
DDS,"0,230000",,"0,000630",,0,0,2026-09-11,KAP genel bilgiler
DEF,"2,25",,"0,00616",,,,2026-09-11,KAP genel bilgiler
DEH,"2,8875","2,8875","0,0079109589",,,,2026-09-11,KAP genel bilgiler
DEI,"0,25",,"0,00068",,,,2026-09-11,KAP genel bilgiler
DFC,"2,50","2,50","0,00685",,,,2026-09-11,KAP genel bilgiler
DFD,"2,50","2,50","0,00685",,,,2026-09-11,KAP genel bilgiler
DFI,"2,00","2,00","0,0054794",0,0,0,2026-09-11,KAP genel bilgiler
DFO,"0,189",,"0,0005178",20,,,2026-09-11,KAP genel bilgiler
DGF,"1,9",,"0,005205",,,,2026-09-11,KAP genel bilgiler
DGH,"0,95","0,95","0,0026027",,,,2026-09-11,KAP genel bilgiler
DHI,1,,"0,002739",,,,2026-09-11,KAP genel bilgiler
DHJ,"2,75","2,75","0,00754",,0,0,2026-09-11,KAP genel bilgiler
DHM,2,2,"0,00548",,0,0,2026-09-11,KAP genel bilgiler
DHP,"0,20","0,20","0,000548",,,,2026-09-11,KAP genel bilgiler
DHS,"0,14","0,14","0,0003836",,0,0,2026-09-11,KAP genel bilgiler
DHT,"2,00","2,00","0,00548",,,,2026-09-11,KAP genel bilgiler
DHV,1,1,"0,00274",,,,2026-09-11,KAP genel bilgiler
DID,"1,95","1,95","0,005342",,,,2026-09-11,KAP genel bilgiler
DIH,"0,30","0,30","0,000822",,,,2026-09-11,KAP genel bilgiler
DII,,,,,,,2026-09-11,KAP genel bilgiler
DIM,"0,35",,"0,00096",,,,2026-09-11,KAP genel bilgiler
DIP,"0,39","0,39","0,001068",,,,2026-09-11,KAP genel bilgiler
DK1,"1,4","1,4","0,00384",0,0,0,2026-09-11,KAP genel bilgiler
DK8,"0,90",,"0,00247",,,"0,50",2026-09-11,KAP genel bilgiler
DKA,1,1,"0,00274",,,1,2026-09-11,KAP genel bilgiler
DKC,1,1,"0,00274",,,,2026-09-11,KAP genel bilgiler
DKH,"2,75",,"0,00754",,,,2026-09-11,KAP genel bilgiler
DKK,,,,,,,2026-09-11,KAP genel bilgiler
DKL,"0,3",,"0,000822",,,,2026-09-11,KAP genel bilgiler
DKP,"1,25","1,25","0,003425",,,1,2026-09-11,KAP genel bilgiler
DKR,"2,92","2,92","0,008",,,,2026-09-11,KAP genel bilgiler
DKS,"0,5","0,50","0,00137",,,,2026-09-11,KAP genel bilgiler
DKY,1,1,"0,00274",,,1,2026-09-11,KAP genel bilgiler
DL2,"0,49","0,75","0,001343",,,,2026-09-11,KAP genel bilgiler
DLD,2,2,"0,00548",,0,0,2026-09-11,KAP genel bilgiler
DLG,2,2,"0,00548",,,,2026-09-11,KAP genel bilgiler
