fonKodu,yonetimUcretiYillik,ictuzukYonetimUcretiYillik,yonetimUcretiGunluk,performansUcreti,girisKomisyonu,cikisKomisyonu,tarih,kaynak
BFE,2,,"0,00548",,,,2026-09-11,KAP genel bilgiler
BFN,"0,23","0,23","0,00063",,,,2026-09-11,KAP genel bilgiler
BFO,"0,125",,"0,000342",0,0,0,2026-09-11,KAP genel bilgiler
BFS,"2,50","2,50","0,00685",,,,2026-09-11,KAP genel bilgiler
BFT,"2,35",,"0,00644",,,,2026-09-11,KAP genel bilgiler
BGH,"0,1764",,"0,0004833",,,,2026-09-11,KAP genel bilgiler
BGP,"0,49","0,49","0,00134",0,0,0,2026-09-11,KAP genel bilgiler
BGR,"2,00","2,00","0,00548",,,,2026-09-11,KAP genel bilgiler
BHA,"2,75","2,75","0,00753",,,,2026-09-11,KAP genel bilgiler
BHE,3,3,"0,0000822",,,,2026-09-11,KAP genel bilgiler
BHF,2,,"0,005479",,,,2026-09-11,KAP genel bilgiler
BHH,1,,"0,002739",10,,,2026-09-11,KAP genel bilgiler
BHI,"3,15","3,15","0,00863",0,0,0,2026-09-11,KAP genel bilgiler
BHL,"3,2",,"0,008767",0,0,0,2026-09-11,KAP genel bilgiler
BHN,1,,"0,002739",,,,2026-09-11,KAP genel bilgiler
BHO,"0,5250",,"0,001438",,,,2026-09-11,KAP genel bilgiler
BI5,"1,25",,"0,00342",,,,2026-09-11,KAP genel bilgiler
BIA,"2,5","2,5","0,006849",10,,,2026-09-11,KAP genel bilgiler
BID,3,3,"0,00822",0,0,0,2026-09-11,KAP genel bilgiler
BIG,3,3,"0,00822",,,,2026-09-11,KAP genel bilgiler
BIH,2,,"0,005479",,,,2026-09-11,KAP genel bilgiler
BIK,"0,06","0,06","0,000164",,,,2026-09-11,KAP genel bilgiler
BIO,2,,"0,00548",0,0,0,2026-09-11,KAP genel bilgiler
BIP,"1,5751575","1,5751575","0,0043155",0,,,2026-09-11,KAP genel bilgiler
BIS,"3,15",,"0,008630",0,0,0,2026-09-11,KAP genel bilgiler
BIT,"2,5","2,5","0,006849",,,,2026-09-11,KAP genel bilgiler
BIY,"3,20",,"0,008767",,,,2026-09-11,KAP genel bilgiler
BJD,"0,50",,"0,001370",,,,2026-09-11,KAP genel bilgiler
BKO,"0,5250",,"0,001438",,,,2026-09-11,KAP genel bilgiler
BKY,1,,"0,0027397",,,,2026-09-11,KAP genel bilgiler
BLA,"0,1",,"0,00027",,,,2026-09-11,KAP genel bilgiler
BLD,2,2,"0,00547",,,,2026-09-11,KAP genel bilgiler
BLT,"1,50","1,50","0,00411",,,,2026-09-11,KAP genel bilgiler
BMU,2,2,"0,005479",,,,2026-09-11,KAP genel bilgiler
BNC,"0,15","0,15","0,00041",,0,0,2026-09-11,KAP genel bilgiler
BNH,"2,62526","2,62526","0,0071925",0,,,2026-09-11,KAP genel bilgiler
