bistKodu,paySayisi,paySayisiKaynak,ozkaynak,netKar4C,netBorc,favok4C,donenVarlik,kvYukumluluk,donem,grup,kaynak,olcumTarihi
GARAN,4200000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",487168000000.0,120698488000.0,,,,,2026-06,UFRS,İş Yatırım MaliTablo,2026-09-15
GENIL,4500000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",13052868656.0,1434026658.0,5030253582.0,481245635.0,12006089268.0,9313922649.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
GESAN,460000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",23442462000.0,1659945515.0,2965437000.0,644666551.0,33061531000.0,15389292000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
GIPTA,132000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",3589894914.0,-216705238.0,-1470538435.0,52280373.0,2805782927.0,448206720.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
GLRMK,322600000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",28377825383.0,4618232662.0,-12280189994.0,1292033227.0,69017535183.0,29260156495.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
GUBRF,,,,,,,,,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
HALKB,7185000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",234602000000.0,32827506000.0,,,,,2026-06,UFRS,İş Yatırım MaliTablo,2026-09-15
HEDEF,3000000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",7123223104.0,2334124621.0,972407145.0,16813215.0,29509016.0,984668202.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
ISCTR,24999970000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",453171456194.0,67663747803.0,,,,,2026-06,UFRS,İş Yatırım MaliTablo,2026-09-15
ISVEA,220000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",1635521706.0,188335263.0,1921523572.0,173579135.0,3379128530.0,2549107003.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
KARCL,720000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",11284211547.0,1443201639.0,6221990641.0,371172211.0,11448989818.0,11486190405.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
KARSN,900000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",8205042000.0,255645824.0,7399168000.0,915912542.0,11268526000.0,11238240000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
KCHOL,2536000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",1291998000000.0,39979041242.0,381502000000.0,85828881873.0,3615149000000.0,3995224000000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
KGYO,1000000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",1449389127.0,-881495704.0,1093530866.0,12359622.0,2239839516.0,2832162443.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
KORDS,194529076.0,"ödenmiş sermaye, nominal 1 TL varsayımı",21791250825.0,-702885750.0,4209863746.0,2218747007.0,22618927317.0,18502607713.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
KRDMD,780226002.0,"ödenmiş sermaye, nominal 1 TL varsayımı",74151306754.0,2910163919.0,-910337742.0,2606607872.0,32403789067.0,23181391264.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
KTLEV,,,,,,,,,,,İş Yatırım MaliTablo: tablo yok,2026-09-15
KZGYO,200000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",13648801280.0,-1521551314.0,214149601.0,2816300.0,259538773.0,1229073204.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
MANAS,331056000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",570849023.0,-717466504.0,380878488.0,136329758.0,892769185.0,926516015.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
MARTI,,,,,,,,,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
MCARD,92600000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",2734812336.0,1176866787.0,-329675265.0,331557210.0,6843757805.0,5825460106.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
MGROS,181054000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",93928374000.0,7305396417.0,-27575916000.0,21257879346.0,88377363000.0,110563173000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
MOBTL,1025000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",9757482707.0,846389943.0,2154037734.0,77108924.0,4641186400.0,3658441003.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
NETCD,137000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",3562547307.0,1466006146.0,-670505810.0,340399410.0,1657200116.0,217464196.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
ORZAX,307000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",3539480056.0,1433087656.0,3233007332.0,218914217.0,8512941587.0,5458106557.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
OYAKC,4861656000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",76166532000.0,8896286390.0,-9376809000.0,4421046049.0,36949472000.0,15092339000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
OZATD,71350000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",4516201638.0,-525890761.0,548324449.0,345505695.0,2314002041.0,1341847730.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
PEKGY,5000000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",8306228676.0,1379033365.0,8515128934.0,1540475.0,6929911092.0,8893284388.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
PETKM,2534400000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",75236997000.0,-4335649826.0,30007046000.0,7209768545.0,41739493000.0,70382383000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
PGSUS,500000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",112660264000.0,1142375350.0,-4194942000.0,25957042377.0,91421290000.0,108239055000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
SAHOL,2100376000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",684535991000.0,20332038340.0,109764509000.0,34585498839.0,2790066761000.0,3396251394000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
SARAE,400000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",7783248501.0,1104897169.0,6284554710.0,147076606.0,13470165449.0,10098293437.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
SASA,47040879000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",192675743000.0,-16561311624.0,34158944000.0,9973496795.0,41999806000.0,72594744000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
SELEC,621000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",37112877712.0,2053849279.0,-163616225.0,1088020785.0,87684005356.0,62958252174.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
SISE,3063214000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",300151368000.0,13015970560.0,14071938000.0,20745568063.0,151299687000.0,83590530000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
SURGY,167500000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",10678744092.0,-321147540.0,-32751208.0,2578897.0,2965514412.0,1133230091.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
SVGYO,1083000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",4508942157.0,-105116407.0,-596571222.0,459047.0,746331505.0,76583445.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TABGD,261292000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",26707587000.0,3385011662.0,-544784000.0,7172222080.0,14583776000.0,9361496000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TATEN,1122000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",8106233820.0,-38001882.0,1278388418.0,846954700.0,674711005.0,1719406489.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TAVHL,363281000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",82650413000.0,5773964238.0,9178460000.0,12007780097.0,47609649000.0,54067268000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TCELL,2200000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",309560267000.0,23457124508.0,-52207739000.0,77567085665.0,180560002000.0,121107736000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TEHOL,1995840000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",11811345691.0,3997375008.0,393029545.0,2670758449.0,14796095115.0,12039246446.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TERA,700000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",92356276782.0,71648122994.0,-81698210.0,135004791.0,251066778392.0,158573183010.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
THYAO,1380000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",1018453000000.0,133050933601.0,106911000000.0,127208075673.0,512191000000.0,566751000000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TKNKA,100000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",3694660153.0,162317295.0,1410912501.0,406047852.0,2588616064.0,2476310336.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TMPOL,14175000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",962438744.0,-117051229.0,307234044.0,126429062.0,1480630628.0,1240758115.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TOASO,500000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",65740826000.0,14525822783.0,18565480000.0,7119055349.0,152293246000.0,101307749000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TRALT,3202500000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",53153385000.0,5991918194.0,-5552203000.0,1292278020.0,24877637000.0,5268456000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TRHOL,30000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",4729856876.0,4656633302.0,1864958.0,1677216.0,9824142528.0,2296015301.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TRMET,388080000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",56723223000.0,2548053473.0,-7352174000.0,1487671534.0,25535794000.0,5703240000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TSKB,2800000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",50251000000.0,10719766000.0,,,,,2026-06,UFRS,İş Yatırım MaliTablo,2026-09-15
TTKOM,3500000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",265254669000.0,33897848150.0,-8099793000.0,61207629653.0,109437499000.0,133562772000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TUPRS,1926796000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",463306781000.0,75627034942.0,-164083361000.0,17541169487.0,439480874000.0,325369321000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
TURSG,,,,,,,,,2026-06,UFRS,İş Yatırım MaliTablo,2026-09-15
ULKER,369276000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",53696149000.0,5544061762.0,-2937550000.0,3281013939.0,96211614000.0,37975559000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
VAKBN,9916000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",353008000000.0,70095184000.0,,,,,2026-06,UFRS,İş Yatırım MaliTablo,2026-09-15
YKBNK,8447000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",286488000000.0,55352137000.0,,,,,2026-06,UFRS,İş Yatırım MaliTablo,2026-09-15
