tarih,fonKodu,fonUnvan,fiyat,kisiSayisi,portfoyBuyukluk,tedPaySayisi
2026-09-11,AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,0,4447,0,0
2026-09-11,AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,0,156,0,0
2026-09-11,AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0,1952,0,0
2026-09-11,ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,0,180,0,0
2026-09-11,ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),0,3,0,0
2026-09-11,ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,0.107454,37,62355840.96,580303972
2026-09-11,AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,3.296626,198,329558206.6,99968338
2026-09-11,AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,2.706766,44,20105647009.87,7427922197
2026-09-11,AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,64.640335,14,135134628.27,2090562
2026-09-11,AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,4.095441,4228,2226558680.88,543667660
2026-09-11,AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),3.786466,146,23109348.1,6103145
2026-09-11,AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,58.209611,83,84236175.93,1447118
2026-09-11,AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),5.493481,44,3543845017.87,645100136
2026-09-11,AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),193.568695,96,2931310816.41,15143517
2026-09-11,ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),44.377637,1283,117098516.96,2638683
2026-09-11,ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,0,1488,0,0
2026-09-11,ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,12.776584,16,652137122.7,51041587
2026-09-11,ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,57.753198,162,1456735606.9,25223462
2026-09-11,ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,0.896723,25569,683353616.58,762056409
2026-09-11,ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.304919,21410,4115320745.16,3153698720
2026-09-11,AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,0,1389,0,0
2026-09-11,AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,0,35975,0,0
2026-09-11,AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0,402,0,0
2026-09-11,AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,1.29163,47263,5479984366.66,4242688396
2026-09-11,AFO,AK PORTFÖY ALTIN FONU,1.340945,81597,19305020477.9,14396576248
2026-09-11,AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,0.349486,29547,906578503.85,2594031640
2026-09-11,AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,1.000902,137196,19255273802.12,19237918102
2026-09-11,AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,0.601229,14902,1244938786.31,2070655646
