tarih,fonKodu,fonUnvan,fiyat,kisiSayisi,portfoyBuyukluk,tedPaySayisi
2026-09-15,DYN,DENİZ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,4.503586,1601,58002620,12879209
2026-09-15,DYS,DENİZ PORTFÖY SAM YELİ SERBEST FON,1.701147,13,19751668.06,11610791
2026-09-15,DZ2,DENİZ PORTFÖY İKİNCİ SERBEST ÖZEL FON,1.409853,2,14668961359.04,10404602255
2026-09-15,DZE,DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),1.008731,2870,195930873.04,194235100
2026-09-15,DZM,DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,87.695904,4063,10978405194.02,125187206
2026-09-15,DZP,AZİMUT PORTFÖY DENİZ SERBEST (DÖVİZ) ÖZEL FON,61.652658,2,464935022.5,7541200
2026-09-15,DZS,AK PORTFÖY DOKUZUNCU SERBEST FON,1.629597,116,165027602.76,101268954
2026-09-15,EBD,GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON,0.265209,562,79685186.44,300461402
2026-09-15,EBI,EMAA BLUE PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,57.095764,24,809520706.14,14178297
2026-09-15,EBS,EMAA BLUE PORTFÖY BİRİNCİ SERBEST (DÖVİZ-ABD DOLARI) FON,49.783115,33,4659519111.31,93596376
2026-09-15,EC2,GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),87.608208,1863,64537883.08,736664.8
2026-09-15,ECA,GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON,2.082855,1164,443411044.19,212886222
2026-09-15,ECB,GLOBAL MD PORTFÖY PARA PİYASASI (TL) FONU,54.80835,3126,752235289.18,13724830
2026-09-15,ECV,GLOBAL MD PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,0.500914,2408,129837612.4,259201601.183
2026-09-15,EDD,QNB PORTFÖY ENPARA DENGELİ DEĞİŞKEN ÖZEL FON,1.161649,969,29450570.71,25352383
2026-09-15,EDN,EMAA BLUE PORTFÖY DENGELİ DEĞİŞKEN FON,1.057685,41,284058389.9,268566079
2026-09-15,EDP,NEO PORTFÖY KORUNCUK EĞİTİME DESTEK PARA PİYASASI SERBEST FON,1.200515,81,181056949.44,150816108
2026-09-15,EDT,DENİZ PORTFÖY TED EĞİTİME DESTEK SERBEST FON,2.316368,606,974218045.16,420580074
2026-09-15,EDU,İŞ PORTFÖY TEV EĞİTİME DESTEK DEĞİŞKEN FON,3.673846,695,371813692.31,101205566
2026-09-15,EES,ROTA PORTFÖY EE SERBEST (DÖVİZ) ÖZEL FON,0,1,0,0
2026-09-15,EGP,GARANTİ PORTFÖY EKİM 2028 SÜRDÜRÜLEBİLİRLİK SERBEST (DÖVİZ-ABD DOLARI) FON,0,49,0,0
2026-09-15,EGR,EMAA BLUE PORTFÖY AGRESİF DEĞİŞKEN FON,1.050097,122,275623654.78,262474463
2026-09-15,EHS,AZİMUT PORTFÖY ERCİYES HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),2.449689,3,577976990.98,235938967
2026-09-15,EIB,ASTRA PORTFÖY DEĞİŞKEN FON,0.691405,486,305882929.37,442407584
2026-09-15,EID,ASTRA PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON),1.973938,1804,92875511.26,47050879
2026-09-15,EIL,ASTRA PORTFÖY PARA PİYASASI (TL) FONU,5.421651,1400,962394491.26,177509475
2026-09-15,EJG,AZİMUT PORTFÖY İNAN SERBEST (TL) ÖZEL FON,9.759732,1,667753097.96,68419205
2026-09-15,EKF,ASTRA PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,0.140328,4817,1238702921.48,8827191862
2026-09-15,EKL,KUVEYT TÜRK PORTFÖY EMLAK KATILIM BANKASI PARA PİYASASI KATILIM FONU,0,1269,0,0
2026-09-15,ELZ,ASTRA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),13.775899,686,319703675.34,23207464
2026-09-15,EME,STRATEJİ PORTFÖY EMERALD HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),1.119671,15,37383739.83,33388148
2026-09-15,EML,AK PORTFÖY EMLAK SEKTÖRÜ DEĞİŞKEN FON,1.230376,959,41522395.15,33747737
2026-09-15,ENA,QNB PORTFÖY ENPARA ATAK DEĞİŞKEN ÖZEL FON,1.159692,1766,44106683.06,38033109
2026-09-15,ENJ,AKTİF PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.3894,667,68021396.42,48957406
2026-09-15,ENO,QNB PORTFÖY ENPARA SERBEST (DÖVİZ) FON,49.255608,118,77502911.19,1573484
2026-09-15,ENR,QNB PORTFÖY ENPARA PARA PİYASASI (TL) FONU,1.235997,14291,2432470073.55,1968022724
2026-09-15,ENS,QNB PORTFÖY ENPARA DEĞİŞKEN ÖZEL FON,1.214028,1811,42036330.37,34625492
2026-09-15,EP1,EMLAK KATILIM PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.095447,2111,12804062808.72,11688441062
2026-09-15,EPA,EMAA BLUE PORTFÖY PARA PİYASASI KATILIM (TL) FONU,1.412496,162,569120282.94,402918066
2026-09-15,EPI,EMAA BLUE PORTFÖY İNŞAAT SEKTÖRÜ KATILIM FONU,1.113293,337,281166442.27,252553754
2026-09-15,EPK,EMAA BLUE PORTFÖY KIYMETLİ MADENLER KATILIM FON SEPETİ FONU,1.337169,1464,228470024.98,170861035
2026-09-15,EPO,İŞ PORTFÖY EXPLORER SERBEST (DÖVİZ) ÖZEL FON,62.818893,1,464231304.18,7389995
2026-09-15,EPP,EMAA BLUE PORTFÖY PARA PİYASASI SERBEST FON,1.5203,55,1921220173.58,1263711573
2026-09-15,EPT,EMAA BLUE PORTFÖY PARA PİYASASI (TL) FONU,1.370193,72,1318801375.2,962492912
2026-09-15,ESG,AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,4.149444,79,11185199.95,2695590
2026-09-15,ESN,ALLBATROSS PORTFÖY ESİN SERBEST FON,1.776649,15,41772833.89,23512149
2026-09-15,ESP,AURA PORTFÖY EMTİA SERBEST FON,0.222614,261,15484933.03,69559524
